query_time,dau,behaviors,mau,mau_lower,mau_upper,country,age_group,gender_alias
2024-05-31 21:43:57,466,Lived in United Kingdom (Formerly Expats - United Kingdom),1300,1200,1400,DE,20-24,all
2024-05-31 21:44:04,-3,Lived in Greece (Formerly Expats - Greece),-3,-3,-3,DE,20-24,all
2024-05-31 21:44:08,427,Lived in Latvia (Formerly Expats - Latvia),1000,1000,1000,DE,20-24,all
2024-05-31 21:44:15,-3,Lived in Luxembourg (Formerly Expats - Luxembourg),-3,-3,-3,DE,20-24,all
2024-05-31 21:44:19,2536042,,3600000,3300000,3900000,DE,20-24,M
2024-05-31 21:44:30,122857,Lives abroad,164250,150900,177600,DE,20-24,M
2024-05-31 21:44:41,332,Lived in Austria (Formerly Expats - Austria),1000,1000,1000,DE,20-24,M
2024-05-31 21:44:51,664,Lived in Belgium (Formerly Expats - Belgium),1000,1000,1000,DE,20-24,M
2024-05-31 21:45:01,498,Lived in Czech Republic (Formerly Expats - Czech Republic),1000,1000,1000,DE,20-24,M
2024-05-31 21:45:12,994,Lived in Denmark (Formerly Expats - Denmark),1000,1000,1000,DE,20-24,M
2024-05-31 21:45:23,989,Lived in Estonia (Formerly Expats - Estonia),1000,1000,1000,DE,20-24,M
2024-05-31 21:45:33,0,Lived in Finland (Formerly Expats - Finland),1000,1000,1000,DE,20-24,M
2024-05-31 21:45:44,570,Lived in France (Formerly Expats - France),1000,1000,1000,DE,20-24,M
2024-05-31 21:45:55,0,Lived in Germany (Formerly Expats - Germany),1000,1000,1000,DE,20-24,M
2024-05-31 21:46:06,866,Lived in Hungary (Formerly Expats - Hungary),1200,1100,1300,DE,20-24,M
2024-05-31 21:46:17,0,Lived in Ireland (Formerly Expats - Ireland),1000,1000,1000,DE,20-24,M
2024-05-31 21:46:29,1632,Lived in Italy (Formerly Expats - Italy),2600,2400,2800,DE,20-24,M
2024-05-31 21:46:39,994,Lived in Lithuania (Formerly Expats - Lithuania),1000,1000,1000,DE,20-24,M
2024-05-31 21:46:49,856,Lived in Netherlands (Formerly Expats - Netherlands),1000,1000,1000,DE,20-24,M
2024-05-31 21:47:00,0,Lived in Norway (Formerly Expats - Norway),1000,1000,1000,DE,20-24,M
2024-05-31 21:47:10,5945,Lived in Poland (Formerly Expats - Poland),7500,6900,8100,DE,20-24,M
2024-05-31 21:47:21,713,Lived in Portugal (Formerly Expats - Portugal),1000,1000,1000,DE,20-24,M
2024-05-31 21:47:31,10258,Lived in Romania (Formerly Expats - Romania),11850,10900,12800,DE,20-24,M
2024-05-31 21:47:42,374,Lived in Russia (Formerly Expats - Russia),1000,1000,1000,DE,20-24,M
2024-05-31 21:47:53,2006,Lived in Serbia (Formerly Expats - Serbia),2650,2400,2900,DE,20-24,M
2024-05-31 21:48:03,798,Lived in Slovakia (Formerly Expats - Slovakia),1000,1000,1000,DE,20-24,M
2024-05-31 21:48:14,713,Lived in Spain (Formerly Expats - Spain),1000,1000,1000,DE,20-24,M
2024-05-31 21:48:25,994,Lived in Sweden (Formerly Expats - Sweden),1000,1000,1000,DE,20-24,M
2024-05-31 21:48:36,0,Lived in Switzerland (Formerly Expats - Switzerland),1000,1000,1000,DE,20-24,M
2024-05-31 21:48:47,285,Lived in United Kingdom (Formerly Expats - United Kingdom),1000,1000,1000,DE,20-24,M
2024-05-31 21:48:54,-3,Lived in Greece (Formerly Expats - Greece),-3,-3,-3,DE,20-24,M
2024-05-31 21:48:57,598,Lived in Latvia (Formerly Expats - Latvia),1000,1000,1000,DE,20-24,M
2024-05-31 21:49:04,-3,Lived in Luxembourg (Formerly Expats - Luxembourg),-3,-3,-3,DE,20-24,M
2024-05-31 21:49:08,2481275,,3500000,3200000,3800000,DE,20-24,F
2024-05-31 21:49:19,78569,Lives abroad,100450,92300,108600,DE,20-24,F
2024-05-31 21:49:29,855,Lived in Austria (Formerly Expats - Austria),1000,1000,1000,DE,20-24,F
2024-05-31 21:49:41,0,Lived in Belgium (Formerly Expats - Belgium),1000,1000,1000,DE,20-24,F
2024-05-31 21:49:51,996,Lived in Czech Republic (Formerly Expats - Czech Republic),1000,1000,1000,DE,20-24,F
2024-05-31 21:50:04,0,Lived in Denmark (Formerly Expats - Denmark),1000,1000,1000,DE,20-24,F
2024-05-31 21:50:14,0,Lived in Estonia (Formerly Expats - Estonia),1000,1000,1000,DE,20-24,F
2024-05-31 21:50:25,0,Lived in Finland (Formerly Expats - Finland),1000,1000,1000,DE,20-24,F
2024-05-31 21:50:35,249,Lived in France (Formerly Expats - France),1000,1000,1000,DE,20-24,F
2024-05-31 21:50:47,0,Lived in Germany (Formerly Expats - Germany),1000,1000,1000,DE,20-24,F
2024-05-31 21:50:57,1113,Lived in Hungary (Formerly Expats - Hungary),1200,1100,1300,DE,20-24,F
2024-05-31 21:51:08,0,Lived in Ireland (Formerly Expats - Ireland),1000,1000,1000,DE,20-24,F
2024-05-31 21:51:20,1591,Lived in Italy (Formerly Expats - Italy),2150,2000,2300,DE,20-24,F
2024-05-31 21:51:30,332,Lived in Lithuania (Formerly Expats - Lithuania),1000,1000,1000,DE,20-24,F
2024-05-31 21:51:40,748,Lived in Netherlands (Formerly Expats - Netherlands),1000,1000,1000,DE,20-24,F
2024-05-31 21:51:52,994,Lived in Norway (Formerly Expats - Norway),1000,1000,1000,DE,20-24,F
2024-05-31 21:52:03,7332,Lived in Poland (Formerly Expats - Poland),8100,7400,8800,DE,20-24,F
2024-05-31 21:52:14,713,Lived in Portugal (Formerly Expats - Portugal),1000,1000,1000,DE,20-24,F
2024-05-31 22:37:28,8924,Lived in Romania (Formerly Expats - Romania),9450,8700,10200,DE,20-24,F
2024-05-31 22:37:39,582,Lived in Russia (Formerly Expats - Russia),1000,1000,1000,DE,20-24,F
2024-05-31 22:37:49,1544,Lived in Serbia (Formerly Expats - Serbia),1600,1500,1700,DE,20-24,F
2024-05-31 22:38:00,831,Lived in Slovakia (Formerly Expats - Slovakia),1000,1000,1000,DE,20-24,F
